,temp,lat
34,30.88,82.32989187054758
549,62.02,1.061755973310582
200,65.71,57.09403904144222
313,72.91,-25.0832172103382
17,18.64,77.14757617009116
432,66.61,-30.196584983508515
229,72.01,-3.4512901975207204
446,84.07,21.37694357083471
584,82.81,6.475563853384074
321,43.3,51.98165386577531
439,76.51,-13.75068281919634
566,55.27,45.11038277223298
466,56.35,67.86312361527965
32,-80.45,-81.3218136426672
334,81.37,30.55267536498889
51,17.83,-63.040233692657964
107,76.69,-8.406911361056828
303,75.2,12.485775079635232
523,83.35,-0.16019250057750867
175,84.25,12.31593748659769
559,56.62,-40.56211328733028
578,84.61,-13.055644797509885
542,44.74,-49.806894029055776
341,78.22,-15.87373222104496
153,44.65,59.853514233102686
68,32.77,74.9479957187368
451,84.2,-20.007588753536453
422,71.47,35.98887137981761
117,88.21,29.96321485610152
309,81.19,-8.34601458800637
147,82.45,16.42786370975142
563,34.57,68.30312629654404
287,81.01,-9.913943476373221
356,72.64,-23.01332229964018
572,62.38,64.85729016273052
216,62.92,48.77629565316877
241,77.63,41.10661814608986
381,72.5,42.048417305806346
545,61.48,44.695836291032855
267,79.39,11.459610741588818
59,75.61,-19.055894850138216
5,86.68,31.943155470095377
450,89.6,12.034187650830146
602,74.35,14.584170364758736
185,65.8,70.76200524884828
449,86.72,35.5465884194563
83,76.69,10.728400995056065
494,45.37,55.38143886074366
23,81.19,-1.7960953605690548
412,63.55,47.37116618866032
421,60.04,-10.617469492526384
445,78.58,8.893438303414456
263,89.6,30.48726924134367
351,63.55,68.46421725951801
308,38.17,61.80975609477596
467,40.69,71.02469395887692
343,95.77,22.59320710952068
168,32.59,88.56166386182426
97,11.89,35.98643241647929
260,74.8,-12.518963415760922
606,71.6,37.24215742808157
366,58.33,-16.759089828331753
517,76.15,22.835138077046143
326,61.39,67.12101071417877
534,94.33,24.363554363372394
567,54.82,-41.52095720247277
190,54.91,57.61123312382944
75,66.2,39.59937347101564
557,64.0,8.473931564444001
172,55.4,57.56786042471256
520,84.88,7.110093937938969
118,-32.66,-81.84639269226783
508,77.0,38.47663904464466
357,51.85,-44.07529258809555
388,49.33,57.77197028806222
477,70.03,54.13984639956547
86,77.23,-9.155075999511483
462,68.32,22.464606954298645
108,85.32,40.148104817896545
275,75.2,40.4058958929605
608,58.6,67.88721357966719
132,82.54,13.474796355541132
103,77.14,-0.17014460906182194
280,90.79,14.323355072750815
246,82.81,10.93035299714991
441,44.47,-44.253075690227625
414,81.28,-9.792375142421932
585,63.28,63.38589178883925
109,63.28,44.24945170900719
198,75.52,36.83700922070403
484,83.17,-7.450016835323537
470,62.47,64.1065661486208
294,60.13,37.19199883093432
256,86.05,21.24336651616298
2,48.7,60.600851418604286
459,59.32,67.01160409340534
217,88.03,-14.014536075969062
427,57.79,57.554350152620096
4,50.77,44.17329583277956
191,82.81,16.867466967319313
219,93.61,-5.531827462647172
339,74.62,-8.719415946451704
176,96.94,-9.403651596475768
586,67.06,-26.18520335760743
447,81.55,29.72822644937939
373,85.96,19.352021743947248
22,37.09,66.42212821671822
337,81.19,44.52597086210906
493,93.25,23.649895416417664
205,84.07,22.495516475010067
98,54.91,67.11273355584186
268,49.15,46.090424015992795
163,57.52,63.833172521437575
173,78.04,18.674158599423908
56,-69.2,-88.48662556787231
489,77.0,40.397422737614704
435,82.27,22.28504255193083
599,77.77,16.623842688651692
15,32.86,85.52400166243805
138,83.44,3.287346845701052
61,98.92,19.949671233431413
104,60.85,66.31363243987278
276,40.69,68.21533865577985
448,80.56,-14.014771889836865
369,76.96,37.23457066294071
162,88.57,-16.696071338880813
141,70.12,34.126766333947685
37,45.37,54.248571289345044
544,64.45,42.973720316859534
597,80.29,9.878348973522023
589,58.42,49.20391450945002
306,69.94,37.50205347510793
336,71.65,36.16840472533434
253,77.68,2.052522183451828
529,58.87,68.67622935908287
375,75.88,5.6325086612519035
514,64.45,43.41858920418622
530,52.75,44.55022207784026
607,66.2,47.419224670870285
122,54.55,51.85843921160703
411,92.26,-8.093053344422316
431,58.15,51.18349511409875
550,79.03,4.8610397804691265
579,72.19,67.20912245748896
410,71.74,-28.247864824583225
320,67.69,30.575745169612745
297,58.87,11.191787642669539
49,77.95,50.797657624554546
148,32.32,77.74250768483941
540,80.29,-16.965090854466624
140,47.62,-46.197021742728275
409,78.8,23.40373999926712
160,-76.31,-88.39316676988922
196,58.33,50.606940067477076
302,51.8,61.825288638368704
592,46.81,68.25008949015987
456,57.16,-0.1884921164098756
206,80.83,-11.919318201654546
170,83.08,11.89225335659367
562,78.8,31.1340713075944
594,73.83,47.01351621503477
9,29.35,77.13919396914648
568,75.79,-6.947666010280372
537,79.12,-2.4774867152896287
440,48.79,52.4422378871256
331,81.82,16.787521146592766
36,76.69,23.48752304165741
610,77.67,18.374713374059308
560,55.4,58.829212339360396
392,76.15,12.60920808624333
543,64.54,-32.56104152475923
571,80.92,-18.44031546064255
510,87.85,23.386640548401004
165,69.94,-25.733114777478804
286,47.71,-38.77748683938139
0,70.84,30.302189993885218
145,79.57,-0.7129568791378489
291,69.49,-23.25396225236237
496,72.46,-24.906356142208157
130,47.35,68.9467969365221
48,51.58,-38.09902163741256
324,80.11,-5.264550222741377
315,78.31,46.08554614551957
595,73.45,27.788275589842897
133,71.29,6.060287178873737
204,82.27,-10.049284209065119
33,50.95,-45.28694810206086
519,79.21,-11.740126149777115
38,80.47,39.156028272795965
142,65.17,-16.726531895248446
364,83.8,15.294413898203047
182,76.33,-17.085953767279292
262,8.11,-68.96227073763552
212,67.6,5.498164823892934
547,43.84,72.59340772632044
481,82.18,7.846513861682554
271,61.12,41.16294477492863
311,58.42,54.68343121647027
270,82.63,1.8315457230841898
499,83.17,-3.0996814741958474
232,57.7,65.87042683894572
245,64.9,44.35489858868755
322,60.58,55.42647666495904
612,99.55,19.720586749487552
504,78.49,5.10758001348495
120,82.0,0.4971018346176805
511,89.6,25.165942216465936
207,59.23,47.744349368725146
47,62.2,70.05641453344505
390,32.77,80.22968233427267
94,84.52,19.70836831942775
598,45.37,48.730398720230646
319,79.39,13.716558455303955
420,41.0,69.18150311789688
424,82.9,11.395062397649752
587,66.07,41.8574293555441
13,75.25,-16.712542909199186
179,79.75,-18.998503094103853
495,80.6,-25.68370545136395
189,37.45,-28.826383555394397
433,74.53,-20.164518783211093
417,84.7,22.001092561204477
503,40.33,58.29466516705072
486,61.3,58.79141710992357
528,54.91,-42.57766662101477
254,94.42,31.46067924923611
582,71.92,56.414558177780115
384,66.07,3.0357044648271057
283,64.36,-31.605012760422696
396,78.85,59.96434742483214
500,66.25,-33.6429048142694
402,64.4,53.69082896447344
416,38.17,-24.73198620338837
239,67.69,39.06001879853253
469,68.23,-4.803032588764552
197,44.83,-48.71068781694481
126,72.91,23.37083820517505
41,95.95,-9.616639485234373
490,53.92,-40.435723817656715
193,83.44,0.039620638533435226
74,31.33,81.06168328858966
213,43.84,73.03589354459703
99,76.42,-17.6561207739768
178,66.61,35.39437860031765
208,48.52,60.88349800170286
438,82.81,19.29032842861278
507,41.0,61.487989676487636
82,84.25,15.594972610460546
199,67.78,-12.913268784336633
551,49.33,56.15650240231534
314,58.78,41.63145848477964
407,73.4,43.34153065284193
257,65.35,-30.389652017566284
143,84.88,15.884782655615355
573,79.84,-8.323403377726438
292,86.32,23.931433218553977
298,63.64,40.78528801407372
181,55.81,59.209314183836206
329,72.19,-20.214845387174282
525,76.78,0.15237459355535066
546,52.57,-41.281014478167975
393,73.81,-18.221892745728727
330,82.99,2.8308373610579314
45,-44.9,-78.5268738910061
8,-66.23,-88.03108362750156
497,74.62,9.301052296958645
387,82.63,-3.970199728345676
397,78.94,25.003050162192462
169,46.81,48.53714016847322
231,92.3,31.083912573281342
43,81.82,0.4255573609716379
516,58.51,59.50020729459993
480,53.65,44.48870078987983
472,81.91,32.24065387963927
158,46.09,70.75383421889049
55,66.07,62.369399627338
453,73.49,40.2299403884449
228,73.72,38.417549736397795
273,93.2,30.21269781199112
214,60.94,65.65890082667147
111,5.95,-67.26771345522043
274,67.6,39.088824147859924
272,77.59,7.967361970083361
371,78.8,34.22334559324038
379,63.01,64.54997884174833
349,73.27,44.38714248858878
581,53.47,42.8323054434926
164,68.86,-29.8736715996168
146,31.87,85.24999608573015
443,69.67,-10.869071446722005
177,59.32,-33.47872017501772
92,64.72,29.275420805012057
35,81.19,19.645911985459293
154,72.73,22.990000173459865
96,68.32,-25.617256087110675
548,69.04,50.806629478188
604,70.48,36.854302989291426
210,80.38,3.211304836167216
116,81.19,-7.318879887497957
512,62.74,52.10758245869536
124,77.41,40.1349419212317
40,31.24,89.29089942417716
21,77.14,26.12455103070488
244,31.42,86.5709888676285
248,82.36,5.252680641729398
317,59.41,-17.15660525649359
342,37.27,-26.62105384720505
156,75.43,9.846275499238672
225,79.57,3.676244705072492
305,83.62,7.618245263403934
391,67.42,-24.81845344073417
202,64.45,39.53241462354916
76,32.14,84.30633719590298
475,88.93,27.101432325231738
128,54.37,-35.15249666496547
284,82.96,39.356310294936854
269,65.71,66.08856868961696
24,93.43,28.956155085995373
121,96.67,31.679833703739604
222,69.31,-10.740364659712741
157,31.87,81.50476015059752
29,32.59,86.20508386327974
344,83.08,21.178308111320746
281,52.57,-41.195871733056606
354,74.98,7.3383854514673885
77,85.96,20.59060030015155
243,77.95,-17.61583598776289
1,65.17,-33.202173792924235
187,55.27,64.74344268345516
89,93.7,16.39269132478671
226,74.26,35.690649647134656
289,53.11,51.94456598843306
300,53.83,57.67093896719294
42,64.4,60.060123170525905
295,31.87,84.85054790938645
249,50.05,59.28542098916867
227,34.21,63.19547877477786
161,68.0,62.94785234410978
455,45.01,-33.37103867408455
73,20.26,-70.62934372648006
359,76.24,6.429307952776385
69,69.22,48.275131675599965
91,32.77,81.43667678591245
242,72.99,41.71079702326779
558,55.81,63.33487354276028
6,33.67,-54.01752568161985
18,43.84,66.35494584192057
78,76.6,0.05530631633961036
476,75.52,7.0306290074722
521,64.4,39.589994231303
513,82.45,22.56636190886937
223,39.34,-56.450960063814115
593,80.11,28.04309919379357
576,50.95,45.9852750268204
64,88.47,28.710032751688328
296,80.83,-3.8641946631304336
565,76.33,-17.512646957048574
19,83.71,15.697419421341053
171,54.46,-25.64754306560809
66,-72.62,-84.58083851122562
54,76.78,-2.4651477500443377
167,92.17,-8.811058105508494
159,54.37,59.04627787067005
541,69.67,23.65490154588039
119,66.79,24.468606001470327
488,83.17,16.039868025815665
522,79.39,46.22480358989142
134,31.69,81.64636708090649
62,59.14,-36.04273700506958
266,58.51,65.88544451294351
131,77.41,2.3058952934495665
588,80.56,-9.427350063643699
491,81.82,11.876338237328126
81,61.21,-32.64628486846654
531,67.15,58.80250730843528
487,74.8,42.109384111327984
332,61.66,35.2524355145311
278,79.75,18.46828668597145
224,72.91,47.38920011988248
533,83.89,14.501489303094218
301,70.21,-4.778445721357342
442,71.02,46.40263169742377
419,90.64,15.901325118453554
325,57.97,56.2860343510551
596,37.27,52.32827566205631
328,61.12,51.32949656863392
561,78.13,-6.699981423250434
554,82.27,26.000763622919763
112,68.32,65.29616973883864
553,59.95,-31.425588657344584
538,33.58,72.9380491516014
555,57.52,63.28714979352853
426,80.65,22.95021505241353
44,107.02,21.387022544893696
105,30.97,-29.093179659414478
394,70.21,-20.33666375417036
346,48.25,68.4393846512911
174,81.82,8.941913599984064
600,68.32,24.32038229394556
28,40.42,57.86786358700397
65,31.69,75.43864680679988
259,52.75,-42.09676411975297
39,53.56,47.297195965378144
498,51.04,-39.84559174993663
524,57.25,51.38160288919366
123,83.44,25.167236141496744
114,62.47,-31.85122583812873
471,45.64,-27.317560282970124
382,99.01,16.018028071413493
401,57.79,54.00088879105525
363,71.6,52.008285179830075
25,30.79,-57.19125286132221
460,59.23,57.71432453008077
304,83.8,-0.7662407635396421
247,50.59,-30.553060361368647
614,50.0,69.07263698880999
350,49.69,39.52898645746709
85,46.99,64.60105002737708
428,54.82,63.20865457876192
400,85.42,12.057146503505322
285,81.82,37.812218471138074
482,57.2,-23.50982193789267
84,81.19,18.358127812174004
474,82.54,-8.642853900465724
235,90.91,34.53760185093686
188,68.5,-15.873904549658489
250,72.73,1.0175186560661444
155,32.41,-53.464990359742615
591,76.24,-4.150083381344359
113,85.87,-1.4012227155542405
265,80.92,7.195996922911718
209,81.91,0.6014644343784994
14,80.47,-11.424122787011454
389,89.6,9.92526149016723
237,77.5,-15.296607188831501
183,72.55,-24.478553019578317
288,61.66,-32.744635514837945
218,51.31,63.209277668605175
404,76.33,-18.27500403014323
370,84.52,21.52988500794187
536,79.79,43.6510561628069
80,62.74,-32.25115026622869
192,89.6,22.019955540590853
88,53.02,50.92386150693465
458,73.54,28.855165011971692
452,60.67,57.201901993828706
137,64.99,47.56596118712037
144,68.23,29.539875371343303
478,82.27,12.819181476635618
58,83.8,9.963354016871703
461,88.93,14.294005525908847
505,64.45,-14.478272184218907
101,31.87,77.18704971757029
601,62.65,-20.80545331064107
312,82.54,-3.3195514514836764
261,80.74,55.35954754329626
323,81.01,23.62762303735262
90,51.85,60.63613516352694
473,72.46,-12.812022362270836
613,76.33,8.918254985997663
150,-89.36,-81.34531577144568
335,74.98,46.942712603247635
79,43.66,68.79574644894123
106,82.18,-7.2000256115520225
277,91.81,35.68332267403646
220,54.19,54.585385529649926
16,76.87,0.8673816274546198
251,59.77,64.5078697246638
201,77.95,2.167079963570032
526,74.62,-20.18067269916681
365,82.36,17.884569763883547
234,80.11,-7.375797372591762
184,80.47,20.21272803394791
233,52.3,-43.9913160611889
327,54.46,67.48584270776541
194,49.06,-44.093525816626645
502,33.85,32.37361022682343
348,86.32,14.241508896039916
434,79.3,55.88458434937022
368,61.12,-33.690105054440004
575,44.65,59.60975808747904
110,81.46,-7.304850097638209
353,71.74,-4.531144294187925
149,82.99,28.310361838597807
413,78.22,5.989915047957567
539,33.67,63.83824824746597
203,72.73,33.9098627772853
345,78.4,43.99362755816534
465,78.8,17.17101871383359
408,66.52,37.05027192878677
355,62.2,5.779732218064495
10,77.68,36.49087336438205
20,66.7,23.83314124585556
139,45.55,66.14711047697935
532,59.41,42.41847622443703
52,31.96,86.52375113152397
186,33.85,68.71926886096375
501,80.74,-11.869159580424876
318,82.09,32.192218234585525
316,65.17,61.820024080509064
